CustomerID,City,OnlineCommunication,AutomaticRefill,DoorstepDelivery,PreferredDeliveryDay,OrderQuantity,EmailType,MailOpened,MailClicked,CustomMails,CustomMail_Open,CustomMail_No,MailClicked_Open,MailClicked_No,MonthOfRegistration,MonthOfemail,YearOfRegistration,YearOfemail,Date_of_Registration,Date_of_email,RetentionPotential
C12348,CITY3,0,0,0,Tuesday,52,WelcomeEmail,yes,NotApplicable,45,1,44,0,45,2,2,2013,2013,23,23,Medium
C12351,CITY3,0,0,0,Monday,40,WelcomeEmail,yes,NotApplicable,30,0,30,0,30,10,10,2017,2017,31,31,Medium
C12357,CITY3,1,0,0,Saturday,52,WelcomeEmail,yes,NotApplicable,40,1,39,0,40,6,6,2013,2013,22,22,Medium
C12359,CITY2,0,0,0,Tuesday,86,WelcomeEmail,yes,NotApplicable,45,0,45,0,45,1,1,2012,2012,25,25,Low
C12360,CITY4,0,0,0,Monday,140,WelcomeEmail,yes,NotApplicable,44,2,42,1,43,5,5,2017,2017,22,22,Low
C12374,CITY2,1,0,0,Wednesday,8796,WelcomeEmail,yes,NotApplicable,50,0,50,0,50,3,3,2012,2012,13,13,Low
C12382,CITY3,0,0,0,Thursday,90,WelcomeEmail,yes,NotApplicable,45,0,45,0,45,4,4,2017,2017,25,25,High
C12393,CITY3,1,0,0,Monday,31,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2013,2013,22,22,Medium
C12394,CITY4,1,0,0,Friday,220,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,1,1,2018,2018,16,16,Low
C12395,CITY4,1,0,0,Friday,47,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,12,12,2013,2013,4,4,Low
C12397,CITY4,1,0,0,Friday,34,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,2,2,2016,2016,25,25,Low
C12400,CITY4,0,0,0,Thursday,57,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,5,5,2011,2011,22,22,Low
C12401,CITY3,1,0,0,Wednesday,45,WelcomeEmail,yes,NotApplicable,38,8,30,0,38,9,9,2013,2013,10,10,Medium
C12403,CITY2,1,1,0,Wednesday,29537,WelcomeEmail,yes,NotApplicable,46,37,9,7,39,11,11,2008,2008,17,17,Low
C12409,CITY2,0,0,0,Monday,31,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,6,6,2010,2010,26,26,Low
C12410,CITY4,0,0,0,Tuesday,57,WelcomeEmail,yes,NotApplicable,45,5,40,0,45,8,8,2011,2011,22,22,Low
C12427,CITY2,1,0,0,Friday,54,WelcomeEmail,yes,NotApplicable,47,2,45,0,47,6,6,2013,2013,16,16,Low
C12429,CITY4,1,1,0,Wednesday,41,WelcomeEmail,yes,NotApplicable,4,2,2,1,3,9,9,2017,2017,27,27,Low
C12432,CITY4,0,0,0,Thursday,55,WelcomeEmail,yes,NotApplicable,44,3,41,0,44,7,7,2010,2010,20,20,Low
C12437,CITY4,1,0,0,Wednesday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,8,8,2017,2017,28,28,Low
C12439,CITY2,0,0,0,Monday,110,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,3,3,2010,2010,31,31,Low
C12443,CITY4,1,0,0,Wednesday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2013,2013,16,16,Low
C12444,CITY4,1,0,0,Monday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2013,2013,6,6,Low
C12450,CITY3,1,0,1,Monday,634,WelcomeEmail,yes,NotApplicable,35,20,15,4,31,11,11,2017,2017,20,20,Medium
C12459,CITY1,1,1,0,Saturday,81,WelcomeEmail,yes,NotApplicable,23,18,5,5,18,10,10,2013,2013,1,1,Low
C12466,CITY3,1,0,0,Tuesday,43,WelcomeEmail,yes,NotApplicable,35,1,34,1,34,10,10,2017,2017,15,15,Medium
C12477,CITY4,0,1,0,Monday,97,WelcomeEmail,yes,NotApplicable,3,3,0,1,2,1,1,2011,2011,17,17,Low
C12481,CITY2,0,0,0,Tuesday,1275,WelcomeEmail,yes,NotApplicable,53,5,48,2,51,6,6,2014,2014,6,6,Low
C12490,CITY4,0,0,0,Thursday,50,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,6,6,2011,2011,2,2,Low
C12495,CITY4,1,0,0,Wednesday,254,WelcomeEmail,yes,NotApplicable,26,1,25,0,26,11,11,2013,2013,2,2,Low
C12496,CITY4,0,0,0,Thursday,310,WelcomeEmail,yes,NotApplicable,47,0,47,0,47,8,8,2011,2011,30,30,Low
C12507,CITY2,0,0,0,Thursday,99,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2015,2015,18,18,Low
C12508,CITY2,0,0,0,Friday,97,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,2,2,2011,2011,17,17,Low
C12527,CITY3,1,0,0,Wednesday,52,WelcomeEmail,yes,NotApplicable,42,3,39,2,40,10,10,2013,2013,22,22,Medium
C12528,CITY3,1,0,1,Monday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,1,1,2014,2014,3,3,Medium
C12529,CITY1,1,0,0,Saturday,40,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,9,9,2013,2013,21,21,Medium
C12535,CITY4,0,0,0,Monday,96,WelcomeEmail,yes,NotApplicable,16,0,16,0,16,1,1,2012,2012,25,25,Low
C12547,CITY3,1,0,0,Monday,34,WelcomeEmail,yes,NotApplicable,39,8,31,2,37,10,10,2013,2013,6,6,Medium
C12548,CITY3,1,0,0,Wednesday,35,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2013,2013,20,20,Medium
C12554,CITY4,1,0,0,Tuesday,73,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,1,1,2014,2014,12,12,Low
C12555,CITY3,0,0,0,Tuesday,82,WelcomeEmail,yes,NotApplicable,45,10,35,0,45,3,3,2017,2017,29,29,Medium
C12563,CITY4,1,0,0,Friday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,9,9,2017,2017,17,17,Low
C12567,CITY2,1,0,0,Monday,36,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,12,12,2013,2013,28,28,Low
C12577,CITY4,0,0,0,Monday,210,WelcomeEmail,yes,NotApplicable,45,10,35,0,45,10,10,2012,2012,5,5,Low
C12581,CITY4,0,0,0,Monday,929,WelcomeEmail,yes,NotApplicable,38,25,13,0,38,2,2,2013,2013,15,15,Low
C12582,CITY2,0,0,0,Friday,53,WelcomeEmail,yes,NotApplicable,39,11,28,3,36,6,6,2011,2011,17,17,Low
C12586,CITY4,1,0,0,Tuesday,1031,WelcomeEmail,yes,NotApplicable,60,23,37,15,45,2,2,2011,2011,9,9,Low
C12588,CITY4,0,0,0,Thursday,59,WelcomeEmail,yes,NotApplicable,16,0,16,0,16,10,10,2011,2011,24,24,Low
C12589,CITY2,1,1,0,Monday,41,WelcomeEmail,yes,NotApplicable,30,4,26,0,30,11,11,2017,2017,1,1,Low
C12591,CITY2,0,0,0,Monday,62,WelcomeEmail,yes,NotApplicable,44,2,42,0,44,10,10,2010,2010,20,20,Low
C12592,CITY3,1,0,0,Friday,32,WelcomeEmail,yes,NotApplicable,42,6,36,4,38,9,9,2013,2013,27,27,Medium
C12594,CITY4,0,0,0,Monday,3574,WelcomeEmail,yes,NotApplicable,37,19,18,0,37,1,1,2011,2011,27,27,Low
C12598,CITY3,1,0,1,Wednesday,766,WelcomeEmail,yes,NotApplicable,29,14,15,2,27,11,11,2013,2013,10,10,Medium
C12606,CITY1,1,0,0,Thursday,66,WelcomeEmail,yes,NotApplicable,10,9,1,1,9,1,1,2014,2014,3,3,Medium
C12607,CITY3,0,0,0,Thursday,535,WelcomeEmail,yes,NotApplicable,48,6,42,1,47,8,8,2012,2012,28,28,High
C12614,CITY2,0,0,0,Thursday,430,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2014,2014,19,19,Low
C12615,CITY3,0,0,0,Wednesday,123,WelcomeEmail,yes,NotApplicable,22,1,21,0,22,10,10,2012,2012,24,24,Medium
C12616,CITY4,1,0,0,Monday,88,WelcomeEmail,yes,NotApplicable,33,15,18,3,30,9,9,2013,2013,7,7,Low
C12619,CITY2,0,0,0,Thursday,6,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2013,2013,25,25,Low
C12622,CITY2,0,0,0,Tuesday,379,WelcomeEmail,yes,NotApplicable,47,1,46,0,47,4,4,2012,2012,14,14,Low
C12624,CITY4,0,0,0,Wednesday,179,WelcomeEmail,yes,NotApplicable,40,17,23,0,40,3,3,2016,2016,20,20,Low
C12628,CITY3,1,0,0,Monday,40,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,9,9,2013,2013,28,28,Medium
C12636,CITY3,0,0,0,Wednesday,54,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2016,2016,25,25,Medium
C12639,CITY1,1,0,0,Saturday,314,WelcomeEmail,yes,NotApplicable,28,25,3,5,23,11,11,2013,2013,21,21,Medium
C12643,CITY3,1,0,0,Friday,36,WelcomeEmail,yes,NotApplicable,38,0,38,0,38,10,10,2013,2013,3,3,Medium
C12655,CITY2,0,0,0,Friday,320,WelcomeEmail,yes,NotApplicable,37,25,12,3,34,11,11,2009,2009,6,6,Low
C12656,CITY1,1,0,0,Saturday,174,WelcomeEmail,yes,NotApplicable,35,8,27,2,33,10,10,2013,2013,17,17,Medium
C12658,CITY3,1,0,0,Tuesday,685,WelcomeEmail,yes,NotApplicable,47,19,28,6,41,6,6,2017,2017,29,29,Medium
C12659,CITY4,1,0,0,Friday,1863,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,5,5,2011,2011,13,13,Low
C12661,CITY2,1,0,0,Tuesday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,10,10,2013,2013,28,28,Low
C12663,CITY2,1,0,1,Wednesday,2060,WelcomeEmail,yes,NotApplicable,55,19,36,1,54,3,3,2013,2013,3,3,Low
C12673,CITY2,0,0,0,Monday,32,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2009,2009,10,10,Low
C12678,CITY3,1,0,0,Monday,70,WelcomeEmail,yes,NotApplicable,36,26,10,1,35,8,8,2013,2013,1,1,Medium
C12681,CITY4,1,0,0,Thursday,357,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,4,4,2011,2011,25,25,Low
C12683,CITY3,1,0,0,Tuesday,41,WelcomeEmail,yes,NotApplicable,44,3,41,0,44,6,6,2013,2013,4,4,Medium
C12696,CITY2,1,0,0,Tuesday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,9,9,2013,2013,23,23,Low
C12697,CITY3,1,0,0,Monday,55,WelcomeEmail,yes,NotApplicable,37,14,23,6,31,10,10,2017,2017,17,17,Medium
C12699,CITY3,1,0,0,Thursday,58,WelcomeEmail,yes,NotApplicable,42,7,35,3,39,9,9,2013,2013,11,11,Low
C12700,CITY2,0,0,0,Friday,7,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,4,4,2009,2009,17,17,Low
C12706,CITY4,1,1,0,Monday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2013,2013,6,6,Low
C12711,CITY4,1,0,0,Wednesday,46,WelcomeEmail,yes,NotApplicable,19,1,18,0,19,11,11,2017,2017,19,19,Low
C12713,CITY2,0,0,0,Friday,26,WelcomeEmail,yes,NotApplicable,16,0,16,0,16,4,4,2009,2009,9,9,Low
C12716,CITY2,1,0,0,Monday,53,WelcomeEmail,yes,NotApplicable,43,0,43,0,43,5,5,2011,2011,17,17,Low
C12725,CITY3,1,0,0,Monday,31,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,12,12,2013,2013,14,14,Medium
C12736,CITY4,1,0,0,Monday,51,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,8,8,2017,2017,5,5,Low
C12747,CITY2,0,0,0,Friday,65,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,12,12,2011,2011,22,22,Low
C12748,CITY2,1,0,0,Monday,427,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,7,7,2011,2011,19,19,Low
C12749,CITY4,1,0,0,Monday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,8,8,2013,2013,30,30,Low
C12764,CITY4,1,1,0,Friday,41,WelcomeEmail,yes,NotApplicable,42,2,40,0,42,10,10,2013,2013,8,8,Low
C12768,CITY4,1,0,0,Friday,46,WelcomeEmail,yes,NotApplicable,50,4,46,1,49,9,9,2013,2013,9,9,Low
C12783,CITY1,0,0,0,Tuesday,150,WelcomeEmail,yes,NotApplicable,44,1,43,0,44,3,3,2013,2013,15,15,Medium
C12784,CITY2,1,0,0,Thursday,100,WelcomeEmail,yes,NotApplicable,31,3,28,3,28,11,11,2012,2012,25,25,Low
C12791,CITY3,0,0,0,Monday,52,WelcomeEmail,yes,NotApplicable,40,11,29,8,32,5,5,2013,2013,18,18,Medium
C12792,CITY3,1,0,0,Tuesday,51,WelcomeEmail,yes,NotApplicable,37,16,21,1,36,6,6,2013,2013,9,9,Medium
C12798,CITY4,0,0,0,Wednesday,86,WelcomeEmail,yes,NotApplicable,31,28,3,3,28,5,5,2013,2013,7,7,Low
C12806,CITY2,1,1,0,Tuesday,41,WelcomeEmail,yes,NotApplicable,22,21,1,0,22,9,9,2013,2013,18,18,Low
C12809,CITY2,0,0,0,Friday,46,WelcomeEmail,yes,NotApplicable,45,0,45,0,45,9,9,2011,2011,8,8,Low
C12811,CITY2,1,0,0,Tuesday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,10,10,2013,2013,7,7,Low
C12817,CITY4,1,1,0,Wednesday,51,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,1,1,2014,2014,12,12,Low
C12819,CITY2,0,0,0,Friday,118,WelcomeEmail,yes,NotApplicable,40,14,26,0,40,3,3,2012,2012,22,22,Low
C12821,CITY4,1,1,0,Tuesday,43,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,10,10,2013,2013,8,8,Low
C12822,CITY3,1,0,0,Wednesday,40,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,9,9,2013,2013,22,22,Medium
C12832,CITY4,0,0,0,Wednesday,806,WelcomeEmail,yes,NotApplicable,38,27,11,6,32,3,3,2013,2013,19,19,Low
C12833,CITY2,1,0,0,Thursday,26,WelcomeEmail,yes,NotApplicable,34,5,29,2,32,7,7,2017,2017,23,23,Low
C12839,CITY3,1,0,0,Tuesday,35,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,1,1,2014,2014,6,6,Medium
C12859,CITY4,1,1,0,Thursday,343,WelcomeEmail,yes,NotApplicable,33,18,15,11,22,10,10,2013,2013,3,3,Low
C12860,CITY3,1,0,1,Tuesday,43,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2017,2017,5,5,Medium
C12868,CITY1,1,0,0,Saturday,35,WelcomeEmail,yes,NotApplicable,39,3,36,2,37,9,9,2013,2013,7,7,Medium
C12879,CITY4,0,0,0,Monday,77,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,3,3,2012,2012,4,4,Low
C12881,CITY2,0,1,0,Tuesday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2013,2013,18,18,Low
C12882,CITY4,0,0,0,Tuesday,95,WelcomeEmail,yes,NotApplicable,35,24,11,1,34,2,2,2013,2013,10,10,Low
C12890,CITY2,1,0,0,Tuesday,60,WelcomeEmail,yes,NotApplicable,3,3,0,2,1,9,9,2013,2013,7,7,Low
C12892,CITY4,0,0,0,Friday,210,WelcomeEmail,yes,NotApplicable,46,5,41,0,46,5,5,2011,2011,13,13,Low
C12899,CITY3,1,0,0,Friday,122,WelcomeEmail,yes,NotApplicable,3,3,0,1,2,8,8,2013,2013,9,9,Medium
C12901,CITY2,1,0,0,Wednesday,79,WelcomeEmail,yes,NotApplicable,41,5,36,2,39,6,6,2013,2013,20,20,Low
C12903,CITY4,1,0,0,Wednesday,55,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,9,9,2017,2017,19,19,Low
C12909,CITY2,0,0,0,Tuesday,166,WelcomeEmail,yes,NotApplicable,45,1,44,0,45,6,6,2010,2010,21,21,Low
C12911,CITY2,1,1,0,Thursday,127,WelcomeEmail,yes,NotApplicable,53,11,42,4,49,10,10,2013,2013,2,2,Low
C12914,CITY4,1,0,0,Tuesday,54,WelcomeEmail,yes,NotApplicable,32,1,31,0,32,10,10,2013,2013,15,15,Low
C12917,CITY2,1,1,0,Monday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,9,9,2013,2013,19,19,Low
C12921,CITY3,0,0,0,Monday,94,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,4,4,2013,2013,28,28,Medium
C12939,CITY4,0,0,0,Friday,150,WelcomeEmail,yes,NotApplicable,45,0,45,0,45,10,10,2012,2012,4,4,Low
C12949,CITY2,0,0,0,Wednesday,74,WelcomeEmail,yes,NotApplicable,18,0,18,0,18,4,4,2014,2014,16,16,Low
C12950,CITY4,1,1,0,Monday,49,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2013,2013,18,18,Low
C12954,CITY4,1,0,0,Monday,321,WelcomeEmail,yes,NotApplicable,37,22,15,6,31,9,9,2013,2013,28,28,Low
C12955,CITY3,0,0,0,Thursday,31,WelcomeEmail,yes,NotApplicable,40,12,28,3,37,1,1,2013,2013,29,29,High
C12957,CITY3,1,0,0,Tuesday,26,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,10,10,2013,2013,14,14,Medium
C12958,CITY2,0,0,0,Thursday,187,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,9,9,2011,2011,16,16,Low
C12962,CITY3,1,0,0,Thursday,31,WelcomeEmail,yes,NotApplicable,30,5,25,2,28,10,10,2013,2013,26,26,Low
C12967,CITY3,1,0,0,Sunday,619,WelcomeEmail,yes,NotApplicable,38,0,38,0,38,8,8,2016,2016,29,29,Medium
C12977,CITY1,1,0,0,Tuesday,78,WelcomeEmail,yes,NotApplicable,11,3,8,3,8,1,1,2018,2018,9,9,Medium
C12984,CITY4,1,0,0,Thursday,79,WelcomeEmail,yes,NotApplicable,56,7,49,1,55,5,5,2017,2017,21,21,Low
C12987,CITY4,1,0,0,Thursday,404,WelcomeEmail,yes,NotApplicable,47,1,46,0,47,9,9,2015,2015,14,14,Low
C12996,CITY2,0,0,0,Wednesday,301,WelcomeEmail,yes,NotApplicable,27,17,10,0,27,8,8,2010,2010,25,25,Low
C13004,CITY4,1,1,0,Thursday,102,WelcomeEmail,yes,NotApplicable,37,10,27,2,35,9,9,2013,2013,18,18,Low
C13006,CITY4,1,0,0,Friday,82,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,10,10,2013,2013,8,8,Low
C13010,CITY4,0,0,0,Friday,712,WelcomeEmail,yes,NotApplicable,49,25,24,5,44,2,2,2013,2013,2,2,Low
C13025,CITY4,0,0,0,Monday,116,WelcomeEmail,yes,NotApplicable,41,13,28,0,41,5,5,2013,2013,16,16,Low
C13038,CITY4,1,0,0,Friday,878,WelcomeEmail,yes,NotApplicable,45,29,16,2,43,2,2,2012,2012,8,8,Low
C13039,CITY3,1,0,0,Thursday,52,WelcomeEmail,yes,NotApplicable,43,4,39,0,43,7,7,2013,2013,14,14,Low
C13042,CITY4,1,1,0,Tuesday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,10,10,2017,2017,5,5,Low
C13051,CITY4,1,1,0,Wednesday,46,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,12,12,2013,2013,3,3,Low
C13054,CITY4,1,0,0,Tuesday,69,WelcomeEmail,yes,NotApplicable,5,3,2,1,4,7,7,2013,2013,29,29,Low
C13055,CITY2,1,0,0,Tuesday,203,WelcomeEmail,yes,NotApplicable,29,24,5,12,17,11,11,2013,2013,19,19,Low
C13067,CITY4,1,1,0,Friday,63,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,1,1,2014,2014,16,16,Low
C13070,CITY4,1,0,0,Monday,268,WelcomeEmail,yes,NotApplicable,37,25,12,13,24,8,8,2014,2014,19,19,Low
C13071,CITY4,1,0,0,Monday,632,WelcomeEmail,yes,NotApplicable,19,12,7,4,15,10,10,2013,2013,18,18,Low
C13072,CITY2,0,0,0,Tuesday,699,WelcomeEmail,yes,NotApplicable,44,5,39,3,41,7,7,2011,2011,2,2,Low
C13073,CITY2,0,0,0,Wednesday,43,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,5,5,2014,2014,22,22,Low
C13078,CITY4,1,0,0,Monday,2948,WelcomeEmail,yes,NotApplicable,51,10,41,6,45,8,8,2010,2010,15,15,Low
C13089,CITY4,1,0,0,Monday,107,WelcomeEmail,yes,NotApplicable,43,4,39,0,43,3,3,2013,2013,23,23,Low
C13092,CITY4,1,0,0,Monday,574,WelcomeEmail,yes,NotApplicable,39,32,7,4,35,7,7,2013,2013,20,20,Low
C13094,CITY4,0,0,0,Wednesday,326,WelcomeEmail,yes,NotApplicable,47,15,32,2,45,10,10,2010,2010,27,27,Low
C13096,CITY3,1,0,0,Monday,68,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,10,10,2013,2013,20,20,Medium
C13100,CITY3,1,0,0,Monday,664,WelcomeEmail,yes,NotApplicable,49,6,43,5,44,6,6,2013,2013,15,15,Medium
C13102,CITY1,0,0,0,Thursday,104,WelcomeEmail,yes,NotApplicable,51,13,38,4,47,3,3,2013,2013,12,12,Medium
C13103,CITY3,1,0,0,Monday,223,WelcomeEmail,yes,NotApplicable,39,14,25,0,39,8,8,2013,2013,18,18,Medium
C13108,CITY4,0,0,0,Friday,269,WelcomeEmail,yes,NotApplicable,27,20,7,0,27,7,7,2015,2015,13,13,Low
C13113,CITY4,1,0,0,Wednesday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,12,12,2013,2013,3,3,Low
C13116,CITY4,0,0,0,Tuesday,266,WelcomeEmail,yes,NotApplicable,45,10,35,3,42,5,5,2013,2013,9,9,Low
C13124,CITY3,1,0,0,Monday,36,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,12,12,2013,2013,11,11,Medium
